Species,Order,Family,Year,Longitude,Latitude,Site,Country,Density (Ind/km2),Method,Mass (g),Diet,Continent,Accessibility_1deg,Human Footprint_1deg,Night Lights_1deg,Cropland_1deg,Pasture_1deg,Human Population Density_1deg,NDVI_1deg,Species Richness_1deg,Accessibility_1km,Human Footprint_1km,Night Lights_1km,Cropland_1km,Pasture_1km,Human Population Density_1km,NDVI_1km,Night Lights_50km,Cropland_50km,Pasture_50km,Human Population Density_50km,NDVI_50km,Accessibility_50km,Human Footprint_50km,Species Richness_50km,Accessibility_10km,Human Footprint_10km,Night Lights_10km,Cropland_10km,Pasture_10km,Human Population Density_10km,NDVI_10km,Species Richness_10km,Accessibility_10kmBuff,Human Footprint_10kmBuff,Night Lights_10kmBuff,Cropland_10kmBuff,Pasture_10kmBuff,Human Population Density_10kmBuff,NDVI_10kmBuff,Species Richness_10kmBuff
Alouatta palliata,Primates,Atelidae,1990,-85.65,10.833,Santa Rosa,Costa Rica,7.391,Census,7274.95,Herbivore,North America,246,16.493,1.452,12.916,21.802,41.097,0.502,70.128,356,18.379,0,2.021,0.28,9.086,0.706,1.295,7.599,14.216,18.731,0.65,336,12.969,104.717,291,18.379,0.062,3.839,3.252,8.266,0.714,104.717,318.167,15.155,0.338,5.419,8.245,7.871,0.695,90.719
Alouatta seniculus,Primates,Atelidae,1990,-67.583,8.575,Hato Masaguaral,Venezuela,223,Census,6145.539,Herbivore,South America,204,5.502,0.49,3.81,4.672,9.446,0.557,153.286,77,7.244,0,8.335,0,1.62,0.61,0.088,3.976,2.151,4.046,0.58,223,6.229,150.807,125,7.244,0.15,7.066,0,1.271,0.623,150.807,212.621,5.851,0.589,4.768,3.605,11.707,0.594,150.276
Antilope cervicapra,Cetartiodactyla,Bovidae,1990,78.273,22.508,,India,0.284,,37500,Herbivore,Asia,163,14.038,1.658,46.448,3.086,170.48,0.476,64.158,383,5.345,0,0.21,0,9.736,0.585,1.207,30.092,3.544,127.654,0.517,168,10.987,69.972,231,5.345,0.002,3.644,1.27,31.326,0.57,69.972,NA,NA,NA,3.644,1.27,31.326,NA,NA
Antilope cervicapra,Cetartiodactyla,Bovidae,1990,80.411,23.619,,India,0.038,,37500,Herbivore,Asia,128,14.569,1.814,47.695,3.299,261.637,0.461,53.23,95,11.55,0,26.591,1.814,66.226,0.535,2.001,47.292,2.946,236.528,0.472,114,15.52,52.898,145,11.55,0.516,42.367,3.309,165.477,0.528,52.898,145,NA,0.516,42.367,3.309,165.477,0.528,52.898
Axis axis,Cetartiodactyla,Cervidae,1990,78.273,22.508,,India,0.719,,67281.85,Herbivore,Asia,163,14.038,1.658,46.448,3.086,170.48,0.476,64.158,383,5.345,0,0.21,0,9.736,0.585,1.207,30.092,3.544,127.654,0.517,168,10.987,69.972,231,5.345,0.002,3.644,1.27,31.326,0.57,69.972,NA,NA,NA,3.644,1.27,31.326,NA,NA
Axis axis,Cetartiodactyla,Cervidae,1990,80.411,23.619,,India,19.285,,67281.85,Herbivore,Asia,128,14.569,1.814,47.695,3.299,261.637,0.461,53.23,95,11.55,0,26.591,1.814,66.226,0.535,2.001,47.292,2.946,236.528,0.472,114,15.52,52.898,145,11.55,0.516,42.367,3.309,165.477,0.528,52.898,100.632,15.021,2.533,47.338,3.185,218.468,0.49,53.292
Axis axis,Cetartiodactyla,Cervidae,1990,76.492,26.007,,India,9.753,,67281.85,Herbivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,2.78,0,114.486,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,113.667,16.852,2.336,35.949,0.344,272.622,0.39,59.293
Axis axis,Cetartiodactyla,Cervidae,1990,79.471,21.618,,India,1.943,,67281.85,Herbivore,Asia,127,13.683,3.55,41.913,2.999,247.05,0.492,64.251,314,7.508,0,13.83,5.383,31.259,0.546,2.19,29.757,2.432,158.196,0.514,119,12.752,67.479,178,7.508,0.568,16.881,3.892,61.771,0.543,67.479,190,10,0.568,16.615,4.313,74.935,0.545,67.442
Bos gaurus,Cetartiodactyla,Bovidae,1990,78.273,22.508,,India,0.821,,8.00E+05,Herbivore,Asia,163,14.038,1.658,46.448,3.086,170.48,0.476,64.158,383,5.345,0,0.21,0,9.736,0.585,1.207,30.092,3.544,127.654,0.517,168,10.987,69.972,231,5.345,0.002,3.644,1.27,31.326,0.57,69.972,231,6.372,0.002,3.644,1.27,31.326,0.57,69.972
Bos gaurus,Cetartiodactyla,Bovidae,1990,80.411,23.619,,India,0.085,,8.00E+05,Herbivore,Asia,128,14.569,1.814,47.695,3.299,261.637,0.461,53.23,95,11.55,0,26.591,1.814,66.226,0.535,2.001,47.292,2.946,236.528,0.472,114,15.52,52.898,145,11.55,0.516,42.367,3.309,165.477,0.528,52.898,NA,NA,0.516,NA,NA,NA,NA,NA
Bos gaurus,Cetartiodactyla,Bovidae,1990,79.471,21.618,,India,0.165,,8.00E+05,Herbivore,Asia,127,13.683,3.55,41.913,2.999,247.05,0.492,64.251,314,7.508,0,13.83,5.383,31.259,0.546,2.19,29.757,2.432,158.196,0.514,119,12.752,67.479,178,7.508,0.568,16.881,3.892,61.771,0.543,67.479,NA,NA,0.568,NA,NA,NA,NA,NA
Boselaphus tragocamelus,Cetartiodactyla,Bovidae,1990,76.492,26.007,,India,1.751,,169000,Herbivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,2.78,0,114.486,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,193,17.053,1.708,29.037,0.277,347.678,0.412,59.596
Boselaphus tragocamelus,Cetartiodactyla,Bovidae,1990,80.411,23.619,,India,9.806,,169000,Herbivore,Asia,128,14.569,1.814,47.695,3.299,261.637,0.461,53.23,95,11.55,0,26.591,1.814,66.226,0.535,2.001,47.292,2.946,236.528,0.472,114,15.52,52.898,145,11.55,0.516,42.367,3.309,165.477,0.528,52.898,113.7,13.722,1.61,46.519,3.217,205.317,0.502,53.067
Boselaphus tragocamelus,Cetartiodactyla,Bovidae,1990,78.273,22.508,,India,0.312,,169000,Herbivore,Asia,163,14.038,1.658,46.448,3.086,170.48,0.476,64.158,383,5.345,0,0.21,0,9.736,0.585,1.207,30.092,3.544,127.654,0.517,168,10.987,69.972,231,5.345,0.002,3.644,1.27,31.326,0.57,69.972,NA,NA,NA,3.644,1.27,31.326,NA,NA
Boselaphus tragocamelus,Cetartiodactyla,Bovidae,1990,79.471,21.618,,India,0.338,,169000,Herbivore,Asia,127,13.683,3.55,41.913,2.999,247.05,0.492,64.251,314,7.508,0,13.83,5.383,31.259,0.546,2.19,29.757,2.432,158.196,0.514,119,12.752,67.479,178,7.508,0.568,16.881,3.892,61.771,0.543,67.479,NA,NA,0.568,NA,NA,NA,NA,NA
Canis aureus,Carnivora,Canidae,1990,76.492,26.007,,India,0.455,,10345.23,Carnivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,2.78,0,114.486,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,193,17.053,NA,NA,NA,NA,0.412,59.596
Canis latrans,Carnivora,Canidae,1990,-138.083,60.971,Kluane Lake (Yukon),Canada,0.086,Counts,13406.333,Carnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,NA,NA,0,NA,NA,NA,NA,NA
Canis lupus,Carnivora,Canidae,1990,-142.02,62.708,,United States,0.009,,32183.33,Carnivore,North America,899,1.077,0.022,0,0,0.194,0.311,35.652,901,0.475,0,0,0,0.121,0.346,0.02,0,0,0.048,0.329,830,0.882,34.864,866,0.475,0,0,0,0.053,0.346,34.864,866,0.458,0,0,0,0.053,0.346,34.864
Capreolus capreolus,Cetartiodactyla,Cervidae,1990,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,0.1,Counts,22500,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,NA,0.316,0,0.001,0.55,48.737
Capreolus capreolus,Cetartiodactyla,Cervidae,1990,11.817,43.8,Foreste Casentinesi,Italy,32,Counts,22500,Herbivore,Europe,108,18.001,12.348,19.942,6.045,169.911,0.58,53.915,214,5.917,3.48,0,0,10.519,0.672,9.268,15.68,4.216,203.223,0.629,127,17.437,58.824,100,5.917,8.422,6.154,2.547,62.112,0.659,58.824,157.032,14.672,7.718,10.311,4.648,74.781,0.654,58.752
Capreolus capreolus,Cetartiodactyla,Cervidae,1990,11.817,43.8,Foreste Casentinesi,Italy,19,Counts,22500,Herbivore,Europe,108,18.001,12.348,19.942,6.045,169.911,0.58,53.915,214,5.917,3.48,0,0,10.519,0.672,9.268,15.68,4.216,203.223,0.629,127,17.437,58.824,100,5.917,8.422,6.154,2.547,62.112,0.659,58.824,148.105,13.359,6.837,6.75,3.834,51.895,0.663,58.907
Capreolus capreolus,Cetartiodactyla,Cervidae,1990,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,0.3,Counts,22500,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,NA,NA,NA,NA,0.55,48.737
Capreolus capreolus,Cetartiodactyla,Cervidae,1990,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,2,Counts,22500,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,0.032,0.158,0,0.003,0.55,48.737
Cebus capucinus,Primates,Cebidae,1990,-85.65,10.833,Santa Rosa,Costa Rica,4.583,Census,2733.317,Omnivore,North America,246,16.493,1.452,12.916,21.802,41.097,0.502,70.128,356,18.379,0,2.021,0.28,9.086,0.706,1.295,7.599,14.216,18.731,0.65,336,12.969,104.717,291,18.379,0.062,3.839,3.252,8.266,0.714,104.717,317.25,15.033,0.094,5.802,8.112,7.627,0.692,90.283
Cebus capucinus,Primates,Cebidae,1990,-84.917,9.833,Silvestre Curu,Costa Rica,5,Distance_sampling,2733.317,Omnivore,North America,NA,14.065,6.05,NA,NA,NA,0.74,53.538,NA,NA,3.839,NA,NA,NA,0.729,2.767,6.715,19.677,33.424,0.726,NA,NA,81.863,NA,NA,1.52,2.902,8.866,8.416,0.74,81.863,327,18.65,0.898,2.036,6.466,6.207,0.712,35.602
Cervus elaphus,Cetartiodactyla,Cervidae,1990,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,1.1,Counts,165015.9,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,0.032,0.316,0,0.001,0.55,48.737
Cervus elaphus,Cetartiodactyla,Cervidae,1990,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,0.7,Counts,165015.9,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,0.064,0.316,0,0.001,0.55,48.737
Cervus elaphus,Cetartiodactyla,Cervidae,1990,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,4.3,Counts,165015.9,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,940.4,0.538,0.057,0.079,0.006,0.15,0.552,48.895
Cheirogaleus medius,Primates,Cheirogaleidae,1990,44.65,-20.05,"Kirindy Forest, CFPF",Madagascar,682,Distance_sampling,181,Herbivore,Africa,401,9.406,0.014,2.592,20.686,11.098,0.524,21.608,541,3.84,0,0.715,3.542,4.566,0.674,0.02,2.43,15.702,14.49,0.531,NA,6.455,37.658,421,3.84,0,1.309,11.613,15.681,0.636,37.658,381.184,5.75,0.004,1.872,24.978,10.224,0.455,14.856
Cheirogaleus medius,Primates,Cheirogaleidae,1990,44.65,-20.05,"Kirindy Forest, CFPF",Madagascar,173,Distance_sampling,181,Herbivore,Africa,401,9.406,0.014,2.592,20.686,11.098,0.524,21.608,541,3.84,0,0.715,3.542,4.566,0.674,0.02,2.43,15.702,14.49,0.531,NA,6.455,37.658,421,3.84,0,1.309,11.613,15.681,0.636,37.658,386.306,6.214,0.016,2.548,18.963,13.503,0.509,19.933
Clethrionomys rutilus,Rodentia,Cricetidae,1990,-138.083,60.971,Kluane Lake (Yukon),Canada,117.772,Mark_recapture,19.94,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1287.127,0.782,0.075,0,0,0.099,0.252,40.888
Clethrionomys rutilus,Rodentia,Cricetidae,1990,-138.083,60.971,Kluane Lake (Yukon),Canada,148.847,Mark_recapture,19.94,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1299.564,0.739,0.06,0,0,0.078,0.253,40.959
Connochaetes taurinus,Cetartiodactyla,Bovidae,1990,35.093,-1.512,,Kenya,0.599,,179999,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,534,5.654,NA,NA,NA,NA,0.511,157.384
Damaliscus lunatus,Cetartiodactyla,Bovidae,1990,31.54,-2.46,Biharamulo-Burigi GRs & surrounds,Tanzania,0.666,Census,136000.3,Herbivore,Africa,356,8.649,0.037,16.168,21.711,68.272,0.571,122.672,642,6.255,0,0.334,0.447,4.054,0.617,0.009,11.786,19.149,41.703,0.569,488,7.104,132.687,371,6.255,0,5.501,11.049,17.616,0.617,132.687,371,NA,0,5.501,11.049,17.616,0.617,132.687
Damaliscus lunatus,Cetartiodactyla,Bovidae,1990,31.54,-2.46,Biharamulo-Burigi GRs & surrounds,Tanzania,0.666,Census,136000.3,Herbivore,Africa,356,8.649,0.037,16.168,21.711,68.272,0.571,122.672,642,6.255,0,0.334,0.447,4.054,0.617,0.009,11.786,19.149,41.703,0.569,488,7.104,132.687,371,6.255,0,5.501,11.049,17.616,0.617,132.687,371,NA,0,5.501,11.049,17.616,0.617,132.687
Damaliscus lunatus,Cetartiodactyla,Bovidae,1990,35.093,-1.512,,Kenya,3.051,,136000.3,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,491,4.673,0.002,0.039,0.62,9.093,0.505,158.635
Diceros bicornis,Perissodactyla,Rhinocerotidae,1990,35.574,-3.17,,Tanzania,0.03,,1180511,Herbivore,Africa,379,7.468,0.104,8.24,18.111,32.644,0.42,148.166,295,9.25,0,0,0,2.056,0.55,0.057,4.618,10.65,18.989,0.487,525,6.745,155.449,254,9.25,0.02,0,0,2.326,0.621,155.449,254,NA,0.02,0,0,2.326,0.621,155.449
Didelphis marsupialis,Didelphimorphia,Didelphidae,1990,-47.25,-24.533,Juréia-Itatins Ecological Station,Brazil,52.73,Mark_recapture,1091.164,Carnivore,South America,NA,8.27,2.463,NA,NA,NA,0.767,83.292,228,6.898,0,0,0,0.301,0.776,0.962,NA,NA,NA,0.739,NA,7.994,116.498,285,6.898,0,0,0,0.388,0.774,116.498,250.75,8.516,1.543,4.042,3.622,53.612,0.751,74.428
Didelphis marsupialis,Didelphimorphia,Didelphidae,1990,-47.25,-24.533,Juréia-Itatins Ecological Station,Brazil,52.59,Mark_recapture,1091.164,Carnivore,South America,NA,8.27,2.463,NA,NA,NA,0.767,83.292,228,6.898,0,0,0,0.301,0.776,0.962,NA,NA,NA,0.739,NA,7.994,116.498,285,6.898,0,0,0,0.388,0.774,116.498,250.75,8.516,1.528,4.042,3.622,53.612,0.751,74.428
Eptesicus serotinus,Chiroptera,Vespertilionidae,1990,0.1,52.117,South Cambridgeshire,United Kingdom,0.833,Counts,22.858,Carnivore,Europe,40,32.73,16.708,24.632,10.1,782.806,0.585,30.219,28,34.718,18.884,30.59,8.376,300.727,0.574,22.034,29.566,10.948,308.293,0.587,45,29.472,36,29,34.718,29.791,30.529,11.129,262.128,0.577,36,29,31.044,29.791,NA,NA,NA,0.577,36
Eudorcas thomsonii,Cetartiodactyla,Bovidae,1990,35.093,-1.512,,Kenya,7.826,,22907.43,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,463.375,5.867,0.007,0.196,1.884,9.477,0.505,157.479
Eulemur fulvus,Primates,Lemuridae,1990,44.65,-20.05,"Kirindy Forest, CFPF",Madagascar,103,Distance_sampling,2394.62,Herbivore,Africa,401,9.406,0.014,2.592,20.686,11.098,0.524,21.608,541,3.84,0,0.715,3.542,4.566,0.674,0.02,2.43,15.702,14.49,0.531,NA,6.455,37.658,421,3.84,0,1.309,11.613,15.681,0.636,37.658,396.284,6.357,0.026,2.689,16.165,15.345,0.524,22.827
Eulemur fulvus,Primates,Lemuridae,1990,44.65,-20.05,"Kirindy Forest, CFPF",Madagascar,22,Distance_sampling,2394.62,Herbivore,Africa,401,9.406,0.014,2.592,20.686,11.098,0.524,21.608,541,3.84,0,0.715,3.542,4.566,0.674,0.02,2.43,15.702,14.49,0.531,NA,6.455,37.658,421,3.84,0,1.309,11.613,15.681,0.636,37.658,413.429,5.588,0,1.806,14.783,10.813,0.555,29.94
Galagoides demidoff,Primates,Galagidae,1990,30.367,0.567,Kibale,Uganda,79.5,Distance_sampling,117.35,Carnivore,Africa,232,10.581,0.072,23.568,12.065,163.378,0.705,170.127,262,5.378,0,9.042,2.562,130.195,0.791,0.105,30.78,13.281,165.775,0.719,211,12.127,176.171,166,5.378,0,32.873,11.076,292.068,0.777,176.171,226.5,10.71,0.047,32.26,13.447,176.029,0.736,175.304
Galagoides demidoff,Primates,Galagidae,1990,30.367,0.567,Kibale,Uganda,50.4,Distance_sampling,117.35,Carnivore,Africa,232,10.581,0.072,23.568,12.065,163.378,0.705,170.127,262,5.378,0,9.042,2.562,130.195,0.791,0.105,30.78,13.281,165.775,0.719,211,12.127,176.171,166,5.378,0,32.873,11.076,292.068,0.777,176.171,221.6,11.347,0.062,34.055,13.434,188.465,0.747,177.123
Gazella bennettii,Cetartiodactyla,Bovidae,1990,80.411,23.619,,India,0.958,,18916.67,Herbivore,Asia,128,14.569,1.814,47.695,3.299,261.637,0.461,53.23,95,11.55,0,26.591,1.814,66.226,0.535,2.001,47.292,2.946,236.528,0.472,114,15.52,52.898,145,11.55,0.516,42.367,3.309,165.477,0.528,52.898,145,13.329,0.516,42.367,3.309,165.477,0.528,52.898
Gazella bennettii,Cetartiodactyla,Bovidae,1990,76.492,26.007,,India,0.781,,18916.67,Herbivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,2.78,0,114.486,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,193,17.053,1.398,27.926,0.166,381.525,0.412,59.596
Gazella bennettii,Cetartiodactyla,Bovidae,1990,78.273,22.508,,India,0.318,,18916.67,Herbivore,Asia,163,14.038,1.658,46.448,3.086,170.48,0.476,64.158,383,5.345,0,0.21,0,9.736,0.585,1.207,30.092,3.544,127.654,0.517,168,10.987,69.972,231,5.345,0.002,3.644,1.27,31.326,0.57,69.972,NA,NA,NA,3.644,1.27,31.326,NA,NA
Gazella granti,Cetartiodactyla,Bovidae,1990,35.093,-1.512,,Kenya,0.707,,55464.46,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,534,5.654,NA,0.006,0,8.251,0.511,157.384
Giraffa camelopardalis,Cetartiodactyla,Giraffidae,1990,35.093,-1.512,,Kenya,0.239,,899994.8,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,534,5.654,NA,NA,NA,NA,0.511,157.384
Gorilla gorilla,Primates,Hominidae,1990,28.75,-2.25,Kahuzi-Biega,Democratic Republic of Congo,0.45,Census,149325.2,Herbivore,Africa,257,9.021,0.144,NA,NA,NA,0.649,138.384,255,8.666,0,7.611,3.817,214.392,0.738,0.389,17.382,6.019,333.688,0.659,249,8.338,159.639,211,8.666,0.072,8.176,5.045,168.084,0.698,159.639,NA,NA,NA,NA,NA,NA,NA,NA
Hippotragus equinus,Cetartiodactyla,Bovidae,1990,10.47,9.83,Yankari GR,Nigeria,0.067,Census,269997.7,Herbivore,Africa,309,7.166,0.126,45.437,26.524,72.401,0.439,93.604,668,4.572,0,19.158,2.354,1.424,0.459,0,38.825,20.498,43.401,0.447,344,6.717,98.639,713,4.572,0,28.898,6.859,11.185,0.464,98.639,NA,NA,NA,28.898,6.859,11.185,NA,NA
